budgetRange,name,label,quarter,date,price(per.sqft)
LUXURY,Runwal My City,PROJECT,"oct-dec,2020",12/31/2020,7250.0
MID,Lodha Regency,PROJECT,"jan-mar,2018",3/31/2018,5850.0
Premium,Dombivli East,LOCALITY,"oct-dec,2022",12/31/2022,7200.0
Premium,Gograswadi,LOCALITY,"oct-dec,2021",12/31/2021,7700.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2020",12/31/2020,6650.0
Premium,Dombivli East,LOCALITY,"apr-june,2021",6/30/2021,6600.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2019",12/31/2019,6300.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2017",3/31/2017,6100.0
MID,Lodha Regency,PROJECT,"apr-june,2021",6/30/2021,6600.0
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2020",12/31/2020,5650.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2022",9/30/2022,6450.0
Premium,Dombivli East,LOCALITY,"apr-june,2017",6/30/2017,6100.0
LUXURY,Runwal My City,PROJECT,"apr-june,2021",6/30/2021,7250.0
Premium,Dombivli East,LOCALITY,"apr-june,2008",6/30/2008,2750.0
MID,Lodha Regency,PROJECT,"apr-june,2022",6/30/2022,5900.0
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2019",6/30/2019,6100.0
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2019",9/30/2019,5750.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2022",6/30/2022,7050.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2019",3/31/2019,6500.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2022",3/31/2022,6200.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2020",6/30/2020,5400.0
LUXURY,Runwal My City,PROJECT,"july-sept,2015",9/30/2015,5400.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2015",9/30/2015,7750.0
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2022",6/30/2022,5600.0
LUXURY,Runwal My City,PROJECT,"july-sept,2018",9/30/2018,6850.0
LUXURY,Regency Anantam,PROJECT,"jan-mar,2020",3/31/2020,6000.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2021",6/30/2021,6300.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2019",9/30/2019,6600.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2022",6/30/2022,6550.0
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2019",12/31/2019,5600.0
Premium,Dombivli East,LOCALITY,"july-sept,2017",9/30/2017,6200.0
Premium,Gograswadi,LOCALITY,"oct-dec,2020",12/31/2020,7100.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2020",12/31/2020,6900.0
Premium,Dombivli East,LOCALITY,"july-sept,2021",9/30/2021,6500.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2022",12/31/2022,6500.0
Premium,Dombivli East,LOCALITY,"july-sept,2016",9/30/2016,6250.0
MID,Lodha Regency,PROJECT,"oct-dec,2016",12/31/2016,6100.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2016",9/30/2016,6450.0
Premium,Dombivli East,LOCALITY,"jan-mar,2011",3/31/2011,4150.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2021",3/31/2021,7150.0
Premium,Gograswadi,LOCALITY,"oct-dec,2018",12/31/2018,6800.0
MID,Lodha Regency,PROJECT,"jan-mar,2021",3/31/2021,6700.0
Premium,Dombivli East,LOCALITY,"apr-june,2009",6/30/2009,2650.0
Premium,Dombivli East,LOCALITY,"jan-mar,2014",3/31/2014,5550.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2018",12/31/2018,7050.0
